PCB_ID,Stencil thickness,Paste volume per aperture,Paste roll bead size,Residual paste,Squeegee pressure,Squeegee speed,Squeegee angle,Aperture area ratio,Paste viscosity,Peak reflow temperature,Ambient RH,metal load,Time Above Liquidus,Root Causes,Mechanism Failure Causes,Defect occured
PCB1,0.10125917604966109,0.03798913697079895,4.068169446039915,5.240129892328464,0.31955260551152453,74.59310606852365,58.27063238930825,0.7042490924698956,206.44937569356424,257.1556551532854,42.57699152777131,84.74486257028218,59.43573156113191,,,
PCB2,0.09862643059359977,0.04180328810793001,3.9632751677155844,4.941866432256905,0.2865760428141777,71.83602393515874,56.75094796911105,0.7395948637649605,197.82652378379447,253.77980272163313,39.157930224008275,78.94962605652776,58.9629602679677,,,
PCB3,0.09738686965144104,0.04043854461100857,4.012941281585058,4.876870813845292,0.2987438167777636,65.78509203666131,60.5730522548793,0.7176292002869216,206.08886432580888,254.4676443430264,39.02679615242612,84.02308261084859,59.30317350063788,,,
PCB4,0.10164965372896599,0.04069856258183486,4.100813912904563,5.331607409535276,0.306461915909585,71.52730147567476,59.357181257588486,0.6877507300384784,202.01358040963748,254.5271540200098,37.63766470267338,80.38063072288396,63.7916972639657,,,
PCB5,0.09809024115390043,0.040478150312887366,3.97160902254936,4.894411420175937,0.28674094010668355,72.3441933931432,61.71664801554083,0.7261274302192512,204.12952476143423,255.45746276863048,42.33691900148206,81.97496374166798,62.15786760020826,,,
PCB6,0.10049330187524624,0.039674459015969506,3.8836096541176968,4.754678233400387,0.3160621709571149,72.94109117271928,59.3633548533124,0.7061389289220982,188.33764607874352,253.98075643120038,42.1059796559692,77.34212660005406,59.65072731005391,,,
PCB7,0.09790174260060244,0.04097912256154247,3.871789350666022,4.717383517417888,0.31705548398284594,71.87659732771007,61.268988835881935,0.700981576420268,208.8913434867237,254.03810148224838,39.58770388289803,74.30383844126192,56.67985331766928,,,
PCB8,0.1013978726497453,0.038038798801942525,4.038666188125572,5.2821436575076754,0.30044894930988025,69.47895356970496,60.05416128056984,0.7098698954732885,199.34844639670237,251.86330181053233,38.203541375518924,80.70109206271326,57.029751723587495,,,
PCB9,0.10088042158466133,0.0390110242549348,4.137478824222978,4.919453638722722,0.2842683984239671,74.98449842100845,57.87194311419336,0.7492592048603611,198.3523173398322,255.90200043644234,42.043655619502104,79.35719279774649,61.41535361874892,,,
PCB10,0.10085900873038794,0.04093532691221528,4.122513302467898,4.75881484551443,0.2861526174392477,71.85766298589867,60.05566245533433,0.72994327979132,195.80168832755805,254.87912619042288,38.11118599354984,80.74771484189625,64.76620438715995,,,
PCB11,0.099228585394843,0.0390216826467547,4.01680368717452,4.988684527326835,0.2970338999814885,70.17132368102313,60.53248045991107,0.6913425479225497,222.1443975367311,254.3760213984531,39.23805924458124,80.62078928666354,55.57578184500421,,,
